KO	ph4.txt	ph45.txt	ph5.txt	ph55.txt	ph6.txt	ph65.txt	ph7.txt
K07387	0	0	2	1	5	2	1	K07387
K07389	3	2	11	13	39	21	11	K07389
K07390	163	190	515	614	1029	729	463	K07390
K07391	363	413	1099	1248	2032	1281	890	K07391
K07393	305	260	567	603	921	623	386	K07393
K07394	3	4	18	20	52	29	21	K07394
K07395	29	50	256	399	690	532	333	K07395
K07396	12	17	68	94	218	124	63	K07396
K07397	277	356	1230	1497	2571	1757	1161	K07397
K07399	106	110	310	324	525	317	178	K07399
K07400	64	65	113	126	340	256	194	K07400
K07401	62	73	166	192	374	285	181	K07401
K07402	948	939	2349	2594	4900	3554	2372	K07402
K07403	275	345	914	1139	2039	1524	1033	K07403
K07404	382	457	1330	1523	2523	1778	1124	K07404
K07405	14	20	61	41	65	18	13	K07405
K07406	45	48	149	95	132	37	30	K07406
K07407	1003	954	2238	2216	2448	1249	656	K07407
K07441	3	1	6	10	30	12	7	K07441
K07442	139	131	246	271	562	386	276	K07442
K07443	140	150	426	465	893	628	439	K07443
K07444	7	11	15	21	53	27	15	K07444
K07445	640	519	1103	586	427	218	124	K07445
K07446	1	1	3	3	1	1	0	K07446
K07447	603	585	1478	1725	3117	2195	1400	K07447
K07448	561	581	1435	1127	1323	702	454	K07448
K07450	29	43	109	76	57	25	15	K07450
K07451	223	257	724	610	637	390	244	K07451
K07452	128	144	499	437	547	334	210	K07452
K07453	17	11	40	23	17	14	4	K07453
K07454	219	249	723	654	772	433	258	K07454
K07455	33	23	99	71	91	46	24	K07455
K07456	104	140	398	363	579	372	276	K07456
K07457	52	54	128	112	93	46	24	K07457
K07458	430	404	930	693	690	295	183	K07458
K07459	92	90	235	145	132	50	17	K07459
K07460	548	564	1450	1612	2868	2122	1361	K07460
K07461	365	442	1360	1637	2245	1458	829	K07461
K07462	1006	928	2439	2958	5696	4352	2824	K07462
K07464	248	220	412	248	169	89	51	K07464
K07465	113	116	301	273	352	161	107	K07465
K07466	2	1	3	0	0	0	0	K07466
K07467	1	1	4	11	28	18	7	K07467
K07469	0	2	17	25	20	6	3	K07469
K07470	0	0	0	0	1	1	1	K07470
K07473	87	79	146	107	92	46	19	K07473
K07474	107	103	321	329	529	257	158	K07474
K07476	0	1	1	0	0	0	0	K07476
K07477	61	60	120	100	127	76	51	K07477
K07478	561	583	1466	1744	2857	2093	1422	K07478
K07480	64	81	166	158	265	169	145	K07480
K07481	484	614	1571	1645	2446	1897	1326	K07481
K07482	347	346	921	1117	1976	1457	1013	K07482
K07483	1046	1212	3028	2959	4314	3270	2172	K07483
K07484	724	739	2085	2107	2618	1845	1126	K07484
K07485	963	889	2296	2114	2725	1912	1224	K07485
K07486	4664	4627	12630	13899	24556	19147	13398	K07486
K07487	351	456	1434	1443	2028	1471	1017	K07487
K07488	1243	1318	3276	2804	2810	1509	977	K07488
K07491	1745	1900	5892	6825	11367	7966	5250	K07491
K07492	1702	1723	4121	3908	4815	3720	2567	K07492
K07493	2060	1656	3819	3557	5289	4018	2893	K07493
K07494	1152	1297	3276	3152	4588	3707	2595	K07494
K07495	521	574	1621	1768	2898	2225	1506	K07495
K07496	1313	1301	3529	3168	2924	1412	900	K07496
K07497	5680	5729	14370	14759	24631	18479	12952	K07497
K07498	321	293	884	839	995	635	419	K07498
K07499	260	323	924	906	1049	769	462	K07499
K07501	52	51	210	301	674	516	384	K07501
K07502	138	135	386	456	998	816	580	K07502
K07503	82	73	195	190	274	164	107	K07503
K07504	11	21	50	32	35	25	7	K07504
K07505	2	3	19	18	9	3	2	K07505
K07506	116	136	587	720	1303	807	493	K07506
K07507	470	492	1134	1304	2188	1702	1128	K07507
K07508	8	25	68	79	144	102	68	K07508
K07511	2	3	1	0	0	0	1	K07511
K07512	2	4	24	45	49	33	10	K07512
K07516	78	121	381	381	529	288	186	K07516
K07517	14	12	23	13	40	27	20	K07517
K07518	0	1	11	12	32	16	11	K07518
K07533	17	26	87	88	159	118	68	K07533
K07534	0	0	0	1	1	0	0	K07534
K07535	36	35	98	96	121	67	52	K07535
K07536	0	3	10	9	10	10	3	K07536
K07537	3	9	25	25	74	52	41	K07537
K07538	0	0	3	5	16	9	5	K07538
K07539	0	0	0	2	3	0	0	K07539
K07542	1	0	3	1	0	1	0	K07542
K07543	1	3	11	11	32	9	8	K07543
K07544	27	32	75	48	71	30	17	K07544
K07546	7	11	28	15	28	23	12	K07546
K07550	0	0	1	2	0	0	0	K07550
K07552	47	65	225	270	371	194	109	K07552
K07555	1	0	0	0	0	0	0	K07555
K07556	41	46	201	267	321	200	94	K07556
K07558	3	4	3	6	9	7	6	K07558
K07559	30	32	107	123	157	92	51	K07559
K07560	441	411	1065	1295	2593	1933	1293	K07560
K07561	0	0	2	0	0	0	0	K07561
K07562	4	0	2	2	1	0	0	K07562
K07565	2	1	2	0	2	2	1	K07565
K07566	714	687	1795	2031	3415	2351	1469	K07566
K07568	443	494	1340	1444	2507	1681	1140	K07568
K07569	0	1	0	0	1	1	1	K07569
K07570	0	1	0	0	0	0	0	"general stress protein 13"
K07571	1	0	2	5	3	2	2	K07571
K07572	2	3	3	0	5	6	4	K07572
K07573	3	3	3	1	7	8	5	K07573
K07574	43	50	177	277	753	559	379	K07574
K07576	33	71	291	316	565	351	225	K07576
K07577	61	85	372	451	657	421	268	K07577
K07578	0	1	3	3	1	0	0	K07578
K07580	0	1	0	0	0	0	0	"Zn-ribbon RNA-binding protein"
K07581	0	2	1	0	3	3	1	K07581
K07583	6	6	5	2	30	26	27	K07583
K07584	21	17	37	16	2	0	0	K07584
K07586	54	65	124	125	267	165	129	K07586
K07588	206	255	683	733	1132	748	473	K07588
K07589	0	0	1	0	5	2	0	K07589
K07590	0	0	0	0	0	1	0	K07590
K07636	154	214	648	587	796	458	284	K07636
K07637	23	34	145	196	300	210	119	K07637
K07638	30	44	122	121	155	78	50	K07638
K07639	0	0	0	0	1	1	0	K07639
K07640	11	25	84	91	76	35	23	K07640
K07641	0	1	6	9	47	31	13	K07641
K07642	18	23	57	46	89	31	22	K07642
K07644	19	19	98	97	86	42	14	K07644
K07645	5	5	37	49	75	43	20	K07645
K07646	513	641	1797	1833	2546	1304	730	K07646
K07648	4	1	6	3	3	1	1	K07648
K07649	4	8	51	48	81	36	22	K07649
K07651	0	0	0	0	1	0	0	K07651
K07653	35	38	91	72	64	29	17	K07653
K07654	39	37	85	68	116	49	30	K07654
K07655	2	3	3	2	10	4	3	K07655
K07656	0	0	0	0	1	0	0	K07656
K07657	54	57	176	223	271	172	91	K07657
K07658	1	2	7	10	8	6	0	K07658
K07659	11	15	65	58	97	57	36	K07659
K07660	10	7	16	22	30	15	13	K07660
K07661	0	0	0	0	1	1	0	K07661
K07662	25	42	130	121	117	60	42	K07662
K07663	2	2	4	10	39	28	15	K07663
K07664	0	0	7	9	20	9	8	K07664
K07665	9	12	63	62	83	37	16	K07665
K07666	18	15	61	65	124	67	41	K07666
K07667	270	351	996	957	1238	670	390	K07667
K07668	1	0	0	0	0	0	0	K07668
K07669	61	71	147	105	96	53	23	K07669
K07670	24	18	40	42	54	33	15	K07670
K07671	3	3	4	3	5	2	1	K07671
K07672	0	0	0	0	1	0	0	K07672
K07673	0	0	0	2	8	2	1	K07673
K07675	32	59	229	269	349	170	113	K07675
K07677	0	1	3	0	0	1	1	K07677
K07678	0	1	6	3	5	1	1	K07678
K07679	1	2	14	16	16	4	2	K07679
K07680	1	4	3	1	0	0	0	K07680
K07682	72	93	246	217	243	119	51	K07682
K07683	0	0	6	11	17	12	7	K07683
K07684	88	115	331	283	306	176	106	K07684
K07685	0	0	0	0	1	1	1	K07685
K07687	3	2	39	35	87	46	25	K07687
K07688	0	0	0	0	1	1	1	K07688
K07689	64	94	309	371	618	374	269	K07689
K07690	0	0	0	0	1	2	1	K07690
K07691	0	0	0	0	0	1	1	K07691
K07692	1	2	5	8	10	6	5	K07692
K07693	89	101	211	122	143	100	52	K07693
K07694	0	0	0	0	0	1	1	K07694
K07695	83	94	224	205	296	182	113	K07695
K07696	49	93	360	347	343	194	109	K07696
K07699	0	1	4	0	0	0	0	K07699
K07704	0	0	1	0	0	0	0	K07704
K07705	78	119	454	515	886	573	398	K07705
K07708	34	48	136	169	243	158	104	K07708
K07709	0	0	1	1	3	7	10	K07709
K07710	0	0	0	0	1	1	1	K07710
K07711	9	13	43	68	159	110	84	K07711
K07712	25	23	65	76	69	37	29	K07712
K07713	103	187	626	695	1081	685	455	K07713
K07714	103	168	598	692	1055	710	465	K07714
K07715	5	5	21	37	73	42	24	K07715
K07716	70	110	305	310	324	195	110	K07716
K07717	0	0	1	0	0	0	0	K07717
K07718	5	6	10	5	12	8	1	K07718
K07719	0	1	2	0	0	0	0	K07719
K07720	9	11	48	55	105	59	38	K07720
K07721	1	0	0	2	6	3	5	K07721
K07722	53	57	214	260	346	246	141	K07722
K07723	8	9	32	29	26	20	11	K07723
K07724	8	9	44	22	20	3	2	K07724
K07726	473	438	1128	1044	1325	902	569	K07726
K07727	99	120	308	417	915	693	501	K07727
K07728	1	0	0	0	0	0	0	K07728
K07729	234	265	701	773	1135	901	626	K07729
K07731	1	1	0	0	0	0	0	"putative transcriptional regulator"
K07732	10	12	33	29	28	19	14	K07732
K07733	453	435	1387	1275	1310	852	501	K07733
K07734	237	285	732	823	1279	866	555	K07734
K07735	363	382	1117	1375	2584	2077	1363	K07735
K07736	343	385	1003	1234	2055	1535	1014	K07736
K07738	628	572	1414	1664	2902	2148	1451	K07738
K07739	2	3	3	7	32	24	18	K07739
K07740	0	0	1	0	1	4	0	K07740
K07741	2	2	13	6	8	8	2	K07741
K07742	195	208	548	626	898	571	344	K07742
K07743	5	6	39	44	155	153	104	K07743
K07746	467	454	1067	926	1030	649	350	K07746
K07749	43	55	129	124	186	92	63	K07749
K07750	1	0	0	0	0	0	0	K07750
K07753	0	1	0	0	0	0	0	"peroxisomal trans-2-enoyl-CoA reductase [EC:1.3.1.38]"
K07755	454	447	1285	1423	2618	1845	1293	K07755
K07759	0	0	0	0	2	3	0	K07759
K07766	2	3	9	26	65	58	42	K07766
K07768	38	24	60	42	55	23	17	K07768
K07769	0	0	0	0	1	1	0	K07769
K07770	0	0	1	0	0	0	0	K07770
K07771	0	0	1	0	1	0	0	K07771
K07772	1	1	1	2	3	2	0	K07772
K07774	1	2	33	41	90	54	38	K07774
K07775	19	22	43	27	26	7	2	K07775
K07776	33	25	51	34	37	15	6	K07776
K07777	4	4	6	7	18	10	8	K07777
K07778	189	192	408	248	320	197	129	K07778
K07783	0	0	0	1	3	0	0	K07783
K07785	1	1	7	5	2	2	0	K07785
K07787	33	56	192	180	192	92	50	K07787
K07788	25	63	133	123	60	25	8	K07788
K07789	31	61	171	147	80	15	8	K07789
K07791	0	0	0	0	1	1	1	K07791
K07792	0	0	0	1	2	1	0	K07792
K07793	301	521	1389	2276	6690	6419	4960	K07793
K07794	47	78	407	769	2078	1822	1336	K07794
K07795	1080	2000	8939	17186	45613	36589	26766	K07795
K07798	100	122	450	471	699	387	228	K07798
K07799	99	166	461	485	438	207	90	K07799
K07806	0	0	0	1	1	0	0	K07806
K07807	7	10	33	45	61	25	8	K07807
K07810	13	17	78	71	176	144	111	K07810
K07812	0	0	1	0	0	0	0	K07812
K07814	7	17	35	39	67	49	37	K07814
K07816	50	47	106	102	94	39	23	K07816
K07823	1	4	9	13	8	3	1	K07823
K07862	0	0	0	0	2	0	0	K07862
K07870	1	1	2	0	0	0	0	K07870
K07936	0	0	1	1	0	0	0	K07936
K07953	1	1	1	0	0	0	0	K07953
K07973	0	0	2	0	0	0	0	K07973
K07978	8	20	58	71	100	78	54	K07978
K07979	76	100	311	314	515	401	260	K07979
K07991	1	1	2	0	0	0	1	K07991
K08010	0	0	0	2	0	1	0	K08010
K08059	0	0	0	1	6	0	1	K08059
K08064	0	2	1	0	0	0	0	K08064
K08066	1	0	1	0	0	0	0	K08066
K08068	0	0	6	4	4	2	1	K08068
K08073	0	2	4	1	2	1	0	K08073
K08080	0	0	0	0	0	1	0	K08080
K08081	3	5	10	14	20	14	8	K08081
K08082	12	20	56	88	167	90	82	K08082
K08083	13	15	54	84	160	91	58	K08083
K08084	65	78	266	386	836	593	431	K08084
K08085	0	0	0	0	1	0	0	K08085
K08086	56	67	164	239	531	416	291	K08086
K08092	20	20	46	55	75	39	35	K08092
K08093	24	15	57	48	96	80	48	K08093
K08094	15	14	33	35	59	27	18	K08094
K08095	4	3	2	20	70	29	24	K08095
K08096	3	3	5	7	12	10	8	K08096
K08097	90	86	222	212	317	198	136	K08097
K08098	0	1	1	0	0	0	0	K08098
K08099	0	0	0	0	1	0	0	K08099
K08106	2	2	7	1	0	0	0	K08106
K08137	9	11	12	13	3	0	0	K08137
K08138	4	5	13	12	4	0	0	K08138
K08139	13	21	29	33	13	3	1	K08139
K08141	1	0	0	0	0	0	0	K08141
K08150	5	6	9	11	4	1	0	K08150
K08151	46	72	309	322	503	283	186	K08151
K08152	0	0	1	0	29	23	19	K08152
K08153	1	0	0	0	11	10	8	K08153
K08156	1	0	1	1	1	1	1	K08156
K08161	15	18	55	34	12	6	2	K08161
K08162	4	6	10	4	13	3	2	K08162
K08166	101	134	316	261	265	115	68	K08166
K08167	74	92	241	177	328	190	140	K08167
K08169	23	29	114	118	56	17	4	K08169
K08170	12	10	32	18	16	7	5	K08170
K08172	38	34	135	129	158	91	58	K08172
K08173	0	0	2	6	10	3	4	K08173
K08174	18	26	58	50	70	35	27	K08174
K08175	0	3	8	14	45	35	27	K08175
K08176	23	24	28	10	0	0	0	K08176
K08177	128	212	738	779	930	580	325	K08177
K08178	142	166	432	380	299	126	48	K08178
K08191	84	139	468	490	595	335	214	K08191
K08194	0	1	8	11	22	19	6	K08194
K08195	10	11	47	43	50	34	23	K08195
K08196	0	0	3	3	14	8	5	K08196
K08214	0	0	0	0	4	3	3	K08214
K08217	414	601	1642	1547	1860	942	591	K08217
K08218	55	65	258	351	582	363	248	K08218
K08219	7	9	33	30	31	19	7	K08219
K08221	25	23	52	33	31	9	3	K08221
K08222	1	4	11	10	15	5	4	K08222
K08223	227	266	766	835	1195	833	517	K08223
K08224	88	103	309	324	363	184	67	K08224
K08225	169	251	757	755	950	489	281	K08225
K08226	1	0	7	7	33	16	12	K08226
K08227	6	6	58	71	124	88	65	K08227
K08232	7	14	39	37	18	2	1	K08232
K08234	224	263	675	646	982	643	440	K08234
K08244	3	1	5	6	1	0	0	K08244
K08246	0	0	0	0	0	1	0	K08246
K08254	0	3	5	0	0	0	0	K08254
K08256	100	126	254	248	294	149	89	K08256
K08257	3	1	4	0	0	0	0	K08257
K08260	1	4	12	13	11	8	4	K08260
K08264	44	58	137	129	176	97	63	K08264
K08267	0	2	4	1	0	0	0	K08267
K08272	0	1	2	0	0	0	0	K08272
K08276	0	1	1	3	21	14	8	K08276
K08279	0	0	1	0	0	0	0	K08279
K08280	0	0	1	2	1	0	0	K08280
K08281	164	178	394	388	610	408	261	K08281
K08282	1	2	17	34	49	25	17	K08282
K08284	0	1	2	0	0	0	0	K08284
K08289	15	16	101	151	306	205	137	K08289
K08295	28	53	129	141	218	168	107	K08295
K08296	280	348	1005	1173	2369	1702	1111	K08296
K08299	4	2	13	10	31	13	4	K08299
K08300	41	39	109	101	113	58	35	K08300
K08301	39	50	165	175	217	138	91	K08301
K08303	14	23	85	99	107	50	20	K08303
K08304	72	69	306	403	727	542	352	K08304
K08305	261	285	906	1307	2200	1810	1078	K08305
K08306	1	2	5	8	11	11	9	K08306
K08307	218	273	739	970	2060	1658	1198	K08307
K08309	309	429	1378	1761	3344	2527	1757	K08309
K08310	17	28	134	203	473	342	249	K08310
K08311	140	136	452	594	934	733	463	K08311
K08312	8	9	14	13	45	28	20	K08312
K08315	0	0	4	5	4	5	4	K08315
K08316	483	499	1282	1494	2568	1852	1158	K08316
K08317	0	0	1	0	0	0	0	K08317
K08318	0	0	10	14	35	20	15	K08318
K08319	5	12	43	63	58	23	12	K08319
K08321	15	19	40	31	54	38	28	K08321
K08322	0	0	1	2	4	3	0	K08322
K08323	67	88	259	261	281	183	114	K08323
K08324	3	2	5	4	2	0	0	K08324
K08325	0	0	1	1	3	0	1	K08325
K08329	1	0	0	0	0	0	0	K08329
K08331	1	1	1	0	1	0	0	K08331
K08332	0	0	1	0	0	0	0	K08332
K08333	0	0	1	1	0	0	0	K08333
K08334	1	1	0	0	0	0	0	"beclin"
K08336	2	0	0	0	0	0	0	K08336
K08337	1	0	0	0	0	0	0	K08337
K08341	1	0	1	0	0	0	0	K08341
K08342	0	0	1	0	0	0	0	K08342
K08343	2	0	2	0	0	0	0	K08343
K08344	51	53	148	155	163	70	50	K08344
K08351	6	9	17	21	14	10	5	K08351
K08352	3	2	14	12	13	5	4	K08352
K08354	0	0	8	9	28	8	9	K08354
K08355	33	56	203	235	433	304	202	K08355
K08356	5	1	4	5	4	2	0	K08356
K08357	0	0	0	0	0	1	1	K08357
K08358	19	30	95	98	134	84	57	K08358
K08363	87	107	235	223	231	120	55	K08363
K08364	42	59	125	107	140	67	44	K08364
K08365	82	110	229	224	310	146	83	K08365
K08368	3	2	27	15	11	2	3	K08368
K08369	40	53	189	162	114	55	19	K08369
K08372	17	20	44	53	76	32	11	K08372
K08478	0	0	0	3	18	15	6	K08478
K08479	0	0	0	0	1	1	0	K08479
K08480	0	0	0	0	1	2	0	K08480
K08481	73	146	564	676	1334	939	665	K08481
K08482	404	526	1676	1919	3260	2227	1636	K08482
K08483	20	28	90	90	177	96	66	K08483
K08484	15	23	69	75	65	35	18	K08484
K08489	0	0	1	0	0	0	0	K08489
K08490	1	0	1	0	0	0	0	K08490
K08493	0	0	1	0	0	0	0	K08493
K08495	0	0	1	0	0	0	0	K08495
K08496	1	1	0	0	0	0	0	"golgi SNAP receptor complex member 2"
K08497	2	0	1	0	0	0	0	K08497
K08504	0	0	1	0	0	0	0	K08504
K08517	1	1	2	0	0	0	0	K08517
K08591	524	521	1490	1717	3098	2234	1420	K08591
K08602	360	419	1133	1190	2204	1776	1194	K08602
K08604	0	0	2	4	13	10	2	K08604
K08640	4	7	48	92	169	98	69	K08640
K08641	132	162	566	745	1515	1031	666	K08641
K08642	1	0	4	7	48	27	25	K08642
K08646	1	0	3	6	78	57	42	K08646
K08651	5	8	75	93	167	86	57	K08651
K08658	2	0	2	0	0	0	0	K08658
K08659	0	2	5	4	6	4	3	K08659
K08676	83	125	412	407	630	374	289	K08676
K08677	148	167	468	315	137	31	6	K08677
K08678	30	43	143	159	210	121	82	K08678
K08679	68	93	302	379	580	394	251	K08679
K08680	18	23	36	19	35	14	8	K08680
K08681	457	399	841	795	1103	711	457	K08681
K08682	18	18	36	46	153	104	76	K08682
K08683	134	146	339	370	480	325	209	K08683
K08685	2	2	32	53	91	63	40	K08685
K08688	2	3	5	1	4	1	2	K08688
K08691	10	21	66	64	78	43	27	K08691
K08692	2	2	11	19	19	20	4	K08692
K08693	0	0	1	3	14	7	4	K08693
K08696	0	0	0	2	2	2	0	K08696
K08697	0	0	0	1	1	3	0	K08697
K08698	0	0	0	0	1	0	0	K08698
K08699	0	0	0	0	1	1	0	K08699
K08700	0	0	0	0	1	0	1	K08700
K08713	0	0	0	0	1	0	0	K08713
K08714	0	1	3	5	38	42	46	K08714
K08715	60	88	288	330	457	193	83	K08715
K08716	0	1	1	2	1	1	1	K08716
K08717	5	7	12	12	22	18	7	K08717
K08720	0	2	3	3	0	1	1	K08720
K08722	2	4	7	8	27	28	18	K08722
K08726	44	51	145	154	207	114	53	K08726
K08735	0	0	1	0	0	0	0	K08735
K08738	316	397	1258	1622	2096	1366	689	K08738
K08744	90	109	319	357	476	314	187	K08744
K08745	1	0	0	0	0	0	0	K08745
K08762	1	1	11	8	39	31	24	K08762
K08764	2	2	6	4	6	0	1	K08764
K08773	0	0	1	0	0	0	0	K08773
K08776	0	0	0	0	1	0	0	K08776
K08832	1	0	1	0	0	0	0	K08832
K08851	0	0	0	0	1	0	0	K08851
K08867	2	0	3	0	0	0	0	K08867
K08869	20	29	74	66	130	76	65	K08869
K08870	1	1	1	0	0	0	0	K08870
K08884	13	15	32	19	30	14	6	K08884
K08900	16	16	69	60	47	23	12	K08900
K08902	1	0	0	0	0	0	1	K08902
K08903	1	0	0	0	1	2	1	K08903
K08906	10	12	64	76	78	38	27	K08906
K08926	1	0	10	11	25	14	4	K08926
K08927	1	0	7	10	28	12	9	K08927
K08928	1	0	4	4	7	4	4	K08928
K08929	1	0	5	4	9	2	1	K08929
K08955	0	0	1	1	0	0	0	K08955
K08956	2	3	3	5	10	5	7	K08956
K08963	94	148	368	377	491	302	200	K08963
K08964	16	20	68	67	233	198	139	K08964
K08965	0	0	0	0	0	1	0	K08965
K08966	27	30	65	61	109	57	32	K08966
K08967	32	46	90	96	316	284	213	K08967
K08968	236	274	844	1004	1633	1225	852	K08968
K08969	0	0	2	1	0	0	0	K08969
K08970	125	175	654	897	1692	1133	680	K08970
K08972	236	271	877	1076	2198	1663	1094	K08972
K08973	181	169	509	642	1059	742	495	K08973
K08974	0	1	1	0	1	2	4	K08974
K08975	3	6	6	4	11	9	6	K08975
K08976	228	249	652	838	1539	1225	846	K08976
K08977	0	0	0	0	0	1	0	K08977
K08978	83	95	370	430	555	348	193	K08978
K08979	3	6	8	8	17	15	10	K08979
K08980	0	0	0	0	2	2	2	K08980
K08981	46	56	107	74	185	204	179	K08981
K08982	175	147	423	410	578	328	165	K08982
K08983	20	33	119	180	566	432	300	K08983
K08984	12	32	139	278	815	666	427	K08984
K08985	0	0	1	3	27	22	16	K08985
K08986	15	9	20	22	69	40	27	K08986
K08987	35	44	127	224	637	483	320	K08987
K08988	27	44	171	283	535	364	227	K08988
K08989	44	59	245	322	743	552	374	K08989
K08990	36	31	111	152	266	216	115	K08990
K08991	1	2	2	0	0	0	0	K08991
K08992	234	247	650	685	1124	831	514	K08992
K08993	0	0	0	0	3	1	0	K08993
K08994	43	45	195	201	340	306	180	K08994
K08995	618	743	2323	2890	4357	2925	1691	K08995
K08996	94	94	274	232	246	167	118	K08996
K08997	45	71	258	328	517	372	243	K08997
K08998	468	491	1185	1357	2456	1758	1184	K08998
K08999	642	598	1320	1432	2659	2080	1495	K08999
K09000	13	13	29	12	2	3	0	K09000
K09001	591	476	1221	1358	2311	1466	863	K09001
K09002	40	51	154	152	131	63	29	K09002
K09003	40	60	220	242	347	227	147	K09003
K09004	113	126	458	625	1016	667	384	K09004
K09005	618	627	1609	1751	2898	2072	1338	K09005
K09007	40	34	115	126	243	165	118	K09007
K09008	52	66	187	243	393	254	171	K09008
K09009	88	80	191	211	315	196	114	K09009
K09011	1	2	2	3	1	1	0	K09011
K09012	42	51	139	144	260	168	116	K09012
K09013	461	481	1086	1169	2020	1469	1041	K09013
K09014	205	196	428	400	554	391	266	K09014
K09015	160	217	535	539	788	535	390	K09015
K09016	2	2	12	17	19	9	6	K09016
K09017	118	153	427	509	782	505	322	K09017
K09018	1	4	23	27	28	20	12	K09018
K09019	47	52	217	278	462	312	164	K09019
K09020	24	28	95	95	123	86	45	K09020
K09021	8	25	69	94	201	157	112	K09021
K09022	1319	1662	4772	5708	10290	7625	5011	K09022
K09023	21	24	47	47	77	51	27	K09023
K09024	4	5	20	19	20	9	5	K09024
K09043	2	0	0	0	0	0	0	K09043
K09065	7	11	33	40	67	46	31	K09065
K09116	0	0	0	0	3	2	2	K09116
K09117	502	516	1373	1526	2786	2000	1313	K09117
K09118	311	345	882	1023	1850	1400	1031	K09118
K09119	0	1	3	2	0	0	0	K09119
K09120	5	2	10	17	63	44	33	K09120
K09121	496	473	1048	1137	2407	1830	1252	K09121
K09122	50	60	201	225	417	284	181	K09122
K09123	0	0	3	3	14	7	6	K09123
K09124	2	6	18	16	23	0	2	K09124
K09125	192	213	626	714	1323	1017	673	K09125
K09126	3	1	1	1	0	0	0	K09126
K09127	26	16	44	15	6	3	0	K09127
K09128	2	4	28	26	48	29	22	K09128
K09129	33	60	146	156	161	98	49	K09129
K09131	192	236	876	1156	2015	1420	857	K09131
K09132	10	14	25	14	30	22	17	K09132
K09133	0	0	0	0	0	0	2	K09133
K09136	175	184	527	492	818	555	326	K09136
K09137	459	429	1096	1149	1234	585	290	K09137
K09138	15	14	29	16	18	7	6	K09138
K09139	0	0	1	0	3	1	2	K09139
K09140	3	3	3	3	5	3	5	K09140
K09141	19	35	118	141	344	249	185	K09141
K09142	25	36	142	142	229	175	124	K09142
K09143	17	20	41	89	170	157	98	K09143
K09144	175	146	330	199	175	88	59	K09144
K09145	8	4	10	5	8	3	1	K09145
K09146	3	3	6	5	13	9	4	K09146
K09147	16	20	51	39	30	11	10	K09147
K09148	0	3	3	3	2	5	3	K09148
K09152	3	1	2	2	4	0	1	K09152
K09153	22	22	58	68	125	80	51	K09153
K09154	59	51	127	153	321	274	181	K09154
K09155	0	3	65	65	47	12	3	K09155
K09157	31	56	167	169	270	176	126	K09157
K09158	42	55	151	196	386	275	211	K09158
K09159	68	81	264	307	439	317	185	K09159
K09160	57	69	234	304	437	334	188	K09160
K09161	12	13	34	27	23	13	7	K09161
K09162	0	1	3	6	11	11	5	K09162
K09163	28	29	102	93	133	80	43	K09163
K09164	205	262	768	915	1981	1570	1080	K09164
K09165	176	253	905	1176	2395	1934	1275	K09165
K09166	217	283	765	804	1212	869	619	K09166
K09167	55	59	94	68	188	193	172	K09167
K09181	22	35	149	173	171	46	35	K09181
K09184	1	0	0	0	0	0	0	K09184
K09190	15	23	97	95	189	130	74	K09190
K09191	0	0	0	1	0	0	0	K09191
K09202	1	0	0	0	0	0	0	K09202
K09251	15	20	51	24	26	18	14	K09251
K09252	54	111	544	588	876	535	320	K09252
K09272	1	1	2	0	0	0	0	K09272
K09384	23	21	85	68	111	43	31	K09384
K09386	681	659	1534	1681	3002	2287	1538	K09386
K09388	37	26	60	50	24	8	4	K09388
K09413	0	1	0	0	0	0	0	"forkhead transcription factor HCM1"
K09456	48	71	185	178	193	117	54	K09456
K09457	319	364	923	1029	1684	1261	872	K09457
K09458	195	243	708	720	904	528	331	K09458
K09459	5	3	19	18	24	13	11	K09459
K09461	102	130	340	364	684	499	337	K09461
K09467	1	0	1	0	0	0	0	K09467
K09471	21	41	165	183	222	117	49	K09471
K09472	6	6	23	25	38	24	13	K09472
K09474	4	11	75	127	234	123	90	K09474
K09478	29	53	151	162	239	142	103	K09478
K09482	2	3	4	3	11	9	5	K09482
K09483	0	1	1	0	8	8	4	K09483
K09484	0	0	1	0	0	0	0	K09484
K09488	0	0	0	2	3	0	1	K09488
K09493	0	0	1	0	0	0	0	K09493
K09506	0	1	1	0	0	0	0	K09506
K09516	2	1	17	13	33	15	15	K09516
K09523	0	1	0	2	2	1	0	K09523
K09531	0	0	1	0	1	0	0	K09531
K09537	0	0	1	0	1	2	0	K09537
K09539	25	31	87	113	140	90	49	K09539
K09548	1	0	1	0	0	0	0	K09548
K09549	0	0	1	0	0	0	0	K09549
K09550	0	0	1	0	0	0	0	K09550
K09554	1	2	2	1	1	0	0	K09554
K09565	0	0	0	1	4	5	2	K09565
K09568	1	1	14	13	17	7	5	K09568
K09578	1	0	1	0	0	0	0	K09578
K09579	0	0	0	1	0	0	0	K09579
K09607	15	23	85	118	510	414	312	K09607
K09611	0	0	0	0	3	1	1	K09611
K09613	0	0	1	0	0	0	0	K09613
K09650	0	1	2	4	6	3	2	K09650
K09659	0	0	2	0	0	0	0	K09659
K09660	1	0	0	0	0	0	0	K09660
K09667	313	358	1484	1638	1848	949	616	K09667
K09680	2	1	1	1	10	10	4	K09680
K09681	29	44	69	38	29	13	5	K09681
K09682	0	1	1	1	0	0	0	K09682
K09684	70	86	157	95	104	46	17	K09684
K09685	1	2	3	2	2	0	0	K09685
